company_code,scope,company_name,ISIN,sector,2018,2019,2020,2021
ALLEGRO,S1,Allegro,LU2237380790,Handel internetowy,,320.75,250.58,526.7
ALLEGRO,S1+S2,Allegro,LU2237380790,Handel internetowy,,7772.76,9192.11,11124.72
ALLEGRO,S2,Allegro,LU2237380790,Handel internetowy,,7452.01,8941.53,10598.02
ALLEGRO,S3,Allegro,LU2237380790,Handel internetowy,,,126201.76,206039.04
CCC,S1,CCC,PLCCC0000016,Odzież i obuwie,,4295.1,4259.0,5237.1
CCC,S1+S2,CCC,PLCCC0000016,Odzież i obuwie,,66288.8,47454.0,56962.5
CCC,S2,CCC,PLCCC0000016,Odzież i obuwie,,61993.7,43195.0,51725.4
CCC,S3,CCC,PLCCC0000016,Odzież i obuwie,,,,116611.0
CIECH,S1,Ciech,PLCIECH00018,Chemia podstawowa,,2920571.0,2640465.0,2678069.0
CIECH,S1+S2,Ciech,PLCIECH00018,Chemia podstawowa,,3453603.0,2783159.0,2819053.0
CIECH,S2,Ciech,PLCIECH00018,Chemia podstawowa,,533032.0,142694.0,140984.0
HANDLOWY,S1,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,1937.0,1119.0,654.0
HANDLOWY,S1+S2,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,18274.0,14801.0,7758.0
HANDLOWY,S2,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,16337.0,13682.0,7104.0
HANDLOWY,S3,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,,2895.0,4072.0
ENEA,S1,Enea,PLENEA000013,Energetyka,,22039576.0,18671299.0,22415951.0
ENEA,S1+S2,Enea,PLENEA000013,Energetyka,,22039576.0,18671299.0,22708361.0
ENEA,S2,Enea,PLENEA000013,Energetyka,,,,292410.0
EUROCASH,S1,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,21779.71,37825.8,39540.76
EUROCASH,S1+S2,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,152358.97,144287.45,142429.32
EUROCASH,S2,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,130579.26,106461.65,102888.56
GPW,S1,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,97.71
GPW,S1+S2,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,3480.47
GPW,S2,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,3382.76
FAMUR,S1,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,1451998.0
FAMUR,S1+S2,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,1466234.0
FAMUR,S2,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,14236.0
GRUPAAZOTY,S1,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,6989700.0,7396000.0,7491000.0
GRUPAAZOTY,S1+S2,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,6989700.0,9432000.0,9328000.0
GRUPAAZOTY,S2,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,,2036000.0,1837000.0
KETY,S1,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,35744.0,38794.0
KETY,S1+S2,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,167507.0,177718.0
KETY,S2,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,131763.0,138924.0
INGBSK,S1,ING,PLBSK0000017,Banki komercyjne,,5271.3,3472.4,3283.1
INGBSK,S1+S2,ING,PLBSK0000017,Banki komercyjne,,11296.3,8416.4,8089.5
INGBSK,S2,ING,PLBSK0000017,Banki komercyjne,,6025.0,4944.0,4806.4
INGBSK,S3,ING,PLBSK0000017,Banki komercyjne,,746.7,171.7,153.9
JSW,S1,JSW,PLJSW0000015,Górnictwo węgla,7170000.0,6700000.0,6470000.0,7160000.0
JSW,S1+S2,JSW,PLJSW0000015,Górnictwo węgla,8220000.0,7920000.0,7180000.0,7920000.0
JSW,S2,JSW,PLJSW0000015,Górnictwo węgla,1050000.0,1220000.0,710000.0,760000.0
KGHM,S1,KGHM,PLKGHM000017,Górnictwo metali,,1714122.0,2479173.0,2548312.0
KGHM,S1+S2,KGHM,PLKGHM000017,Górnictwo metali,,4162188.43,4641293.05,5183679.0
KGHM,S2,KGHM,PLKGHM000017,Górnictwo metali,,2448066.43,2162120.05,2635367.0
MILLENNIUM,S1,Millenium Bank,PLBIG0000016,Banki komercyjne,,22596.0,2601.0,2500.0
MILLENNIUM,S1+S2,Millenium Bank,PLBIG0000016,Banki komercyjne,,22596.0,26777.0,16683.0
MILLENNIUM,S2,Millenium Bank,PLBIG0000016,Banki komercyjne,,,24176.0,14183.0
MILLENNIUM,S3,Millenium Bank,PLBIG0000016,Banki komercyjne,,,3691.0,2173.0
ORANGEPL,S1,Orange,PLTLKPL00017,Telekomunikacja,,21700.0,22800.0,32700.0
ORANGEPL,S1+S2,Orange,PLTLKPL00017,Telekomunikacja,,418700.0,404800.0,366700.0
ORANGEPL,S2,Orange,PLTLKPL00017,Telekomunikacja,,397000.0,382000.0,334000.0
ORANGEPL,S3,Orange,PLTLKPL00017,Telekomunikacja,,1400.0,1300.0,200.0
PGE,S1,PGE,PLPGER000010,Energetyka,,60663255.0,72504413.0,70986410.3
PGE,S1+S2,PGE,PLPGER000010,Energetyka,,60663255.0,72504413.0,73169805.3
PGE,S2,PGE,PLPGER000010,Energetyka,,,,2183395.0
PGE,S3,PGE,PLPGER000010,Energetyka,,,,24722424.4
PKNORLEN,S1,PKN Orlen,PLPKN0000018,Wydobycie i produkcja,,18623537.0,17715216.0,18102614.0
PKNORLEN,S1+S2,PKN Orlen,PLPKN0000018,Wydobycie i produkcja,,20290222.0,18974952.0,19237589.0
PKNORLEN,S2,PKN Orlen,PLPKN0000018,Wydobycie i produkcja,,1666685.0,1259736.0,1134975.0
PKNORLEN,S3,PKN Orlen,PLPKN0000018,Wydobycie i produkcja,,86860532.0,81123571.0,82347592.0
PKOBP,S1,PKO BP,PLPKO0000016,Banki komercyjne,,16399.0,13501.0,13388.0
PKOBP,S1+S2,PKO BP,PLPKO0000016,Banki komercyjne,,113511.0,70939.0,50692.0
PKOBP,S2,PKO BP,PLPKO0000016,Banki komercyjne,,97112.0,57438.0,37304.0
PKOBP,S3,PKO BP,PLPKO0000016,Banki komercyjne,,,289.0,3536.0
PZU,S1,PZU,PLPZU0000011,Firmy ubezpieczeniowe,,30506.0,25794.0,25096.0
PZU,S1+S2,PZU,PLPZU0000011,Firmy ubezpieczeniowe,,144441.0,132337.0,126996.0
PZU,S2,PZU,PLPZU0000011,Firmy ubezpieczeniowe,,113935.0,106543.0,101900.0
PZU,S3,PZU,PLPZU0000011,Firmy ubezpieczeniowe,,23008.0,18103.0,24500.0
PEKAO,S1,Pekao,PLPEKAO00016,Banki komercyjne,,,6798.2,8104.3
PEKAO,S1+S2,Pekao,PLPEKAO00016,Banki komercyjne,,,71982.0,72257.4
PEKAO,S2,Pekao,PLPEKAO00016,Banki komercyjne,,,65183.8,64153.1
SANPL,S1,Santander,PLBZ00000044,Banki komercyjne,,3315.46,2031.82,5957.1
SANPL,S1+S2,Santander,PLBZ00000044,Banki komercyjne,,37145.66,9708.22,21470.1
SANPL,S2,Santander,PLBZ00000044,Banki komercyjne,,33830.2,7676.4,15513.0
SANPL,S3,Santander,PLBZ00000044,Banki komercyjne,,0.0,,94.7
TAURONPE,S1,Tauron,PLTAURN00011,Energetyka,,12215945.0,10093648.0,13702825.0
TAURONPE,S1+S2,Tauron,PLTAURN00011,Energetyka,,12215945.0,10529112.0,15383718.0
TAURONPE,S2,Tauron,PLTAURN00011,Energetyka,,,435464.0,1680893.0
TAURONPE,S3,Tauron,PLTAURN00011,Energetyka,,,,21349121.0
WIRTUALNA,S1,Wirtualna Polska,PLWRTPL00027,Portale internetowe,,729.9,542.4,405.5
WIRTUALNA,S1+S2,Wirtualna Polska,PLWRTPL00027,Portale internetowe,,8535.1,7064.9,849.4
WIRTUALNA,S2,Wirtualna Polska,PLWRTPL00027,Portale internetowe,,7805.2,6522.5,443.9
MBANK,S1,mBank,PLBRE0000012,Banki komercyjne,,15421.99,9371.42,3295.42
MBANK,S1+S2,mBank,PLBRE0000012,Banki komercyjne,,15421.99,9371.42,15945.39
MBANK,S2,mBank,PLBRE0000012,Banki komercyjne,,,,12649.97
MBANK,S3,mBank,PLBRE0000012,Banki komercyjne,,,,8275.14
AMREST,S1,,ES0105375002,Hotele i restauracje,,,531551.0,213536.0
AMREST,S1+S2,,ES0105375002,Hotele i restauracje,,,660670.0,370869.0
AMREST,S2,,ES0105375002,Hotele i restauracje,,,129119.0,157333.0
AMREST,S3,,ES0105375002,Hotele i restauracje,,,868450.0,
ASBIS,S1,,CY1000031710,Komputery i elektronika,,444.0,447.0,490.0
ASBIS,S1+S2,,CY1000031710,Komputery i elektronika,,1202.0,1226.0,1381.0
ASBIS,S2,,CY1000031710,Komputery i elektronika,,758.0,779.0,891.0
ASBIS,S3,,CY1000031710,Komputery i elektronika,,3118.0,2443.0,1675.0
BENEFIT,S1,,PLBNFTS00018,rekreacja i wypoczynek - pozostałe,,,1229.0,3052.0
BENEFIT,S1+S2,,PLBNFTS00018,rekreacja i wypoczynek - pozostałe,,,22317.0,24165.0
BENEFIT,S2,,PLBNFTS00018,rekreacja i wypoczynek - pozostałe,,,21088.0,21113.0
BENEFIT,S3,,PLBNFTS00018,rekreacja i wypoczynek - pozostałe,,,3988.0,4047.0
BOGDANKA,S1,,PLLWBGD00016,Górnictwo węgla,,54883.0,50165.0,61762.7
BOGDANKA,S1+S2,,PLLWBGD00016,Górnictwo węgla,,305816.38,283787.13,308680.0
BOGDANKA,S2,,PLLWBGD00016,Górnictwo węgla,,250933.38,233622.13,246917.3
BUDIMEX,S1,,PLBUDMX00013,budownictwo ogólne,,,89027.1,68361.0
BUDIMEX,S1+S2,,PLBUDMX00013,budownictwo ogólne,,,109883.6,84391.1
BUDIMEX,S2,,PLBUDMX00013,budownictwo ogólne,,,20856.5,16030.1
CDPROJEKT,S1,,PLOPTTC00011,Gry,,,,37.0
CDPROJEKT,S1+S2,,PLOPTTC00011,Gry,,,,1701.0
CDPROJEKT,S2,,PLOPTTC00011,Gry,,,,1664.0
COMARCH,S1,,PLCOMAR00012,Systemy informatyczne,,,2241.0,2824.0
COMARCH,S1+S2,,PLCOMAR00012,Systemy informatyczne,,,14347.0,13216.0
COMARCH,S2,,PLCOMAR00012,Systemy informatyczne,,,12106.0,10392.0
CYFRPLSAT,S1,,PLCFRPT00013,Telekomunikacja,,8319.0,7649.0,8055.0
CYFRPLSAT,S1+S2,,PLCFRPT00013,Telekomunikacja,,286239.0,122106.0,77539.0
CYFRPLSAT,S2,,PLCFRPT00013,Telekomunikacja,,277920.0,114457.0,69484.0
CYFRPLSAT,S3,,PLCFRPT00013,Telekomunikacja,,6153.0,2465.0,42813.0
INTERCARS,S1,,PLINTCS00010,Części samochodowe,,,11392.1,12412.2
INTERCARS,S1+S2,,PLINTCS00010,Części samochodowe,,,23279.4,23707.9
INTERCARS,S2,,PLINTCS00010,Części samochodowe,,,11887.3,11295.7
INTERCARS,S3,,PLINTCS00010,Części samochodowe,,,1126774.6,1326175.3
KERNEL,S1,,LU0327357389,Żywność,,1224000.0,1025900.0,1193600.0
KERNEL,S1+S2,,LU0327357389,Żywność,,1326000.0,1127200.0,1276900.0
KERNEL,S2,,LU0327357389,Żywność,,102000.0,101300.0,83300.0
KERNEL,S3,,LU0327357389,Żywność,,,1005800.0,773800.0
KRUK,S1,,PLKRK0000010,Wierzytelności,,,,2686.17
KRUK,S1+S2,,PLKRK0000010,Wierzytelności,,,,4600.97
KRUK,S2,,PLKRK0000010,Wierzytelności,,,,1914.8
LPP,S1,,PLLPP0000011,Odzież i obuwie,,4515.0,3721.0,4420.67
LPP,S1+S2,,PLLPP0000011,Odzież i obuwie,,145023.0,124698.0,16405.81
LPP,S2,,PLLPP0000011,Odzież i obuwie,,140508.0,120977.0,11985.14
LPP,S3,,PLLPP0000011,Odzież i obuwie,,1360267.0,1170642.0,3017744.9
MERCATOR,S1,,PLMRCTR00015,Sprzęt i materiały medyczne,,250916.0,248853.0,248782.0
MERCATOR,S1+S2,,PLMRCTR00015,Sprzęt i materiały medyczne,,269557.0,267315.0,264693.0
MERCATOR,S2,,PLMRCTR00015,Sprzęt i materiały medyczne,,18641.0,18462.0,15911.0
MERCATOR,S3,,PLMRCTR00015,Sprzęt i materiały medyczne,,,,23700.0
NEUCA,S1,,PLTRFRM00018,Dystrybucja leków,,4418.0,3675.0,3734.0
NEUCA,S1+S2,,PLTRFRM00018,Dystrybucja leków,,17100.0,17300.0,18792.0
NEUCA,S2,,PLTRFRM00018,Dystrybucja leków,,12682.0,13625.0,15058.0
PEP,S1,,PLPLSEP00013,Energetyka,,,,109960.0
PEP,S1+S2,,PLPLSEP00013,Energetyka,,,,113739.54
PEP,S2,,PLPLSEP00013,Energetyka,,,,3779.54
PKPCARGO,S1,,PLPKPCR00011,Transport,62471.7,50561.8,48182.0,48034.2
PKPCARGO,S1+S2,,PLPKPCR00011,Transport,624717.0,505618.0,481820.0,480342.0
PKPCARGO,S2,,PLPKPCR00011,Transport,562245.3,455056.2,433638.0,432307.8
STSHOLDING,S1,,PLSTSHL00012,rekreacja i wypoczynek - pozostałe,,,364.0,320.0
STSHOLDING,S1+S2,,PLSTSHL00012,rekreacja i wypoczynek - pozostałe,,,3307.0,3802.0
STSHOLDING,S2,,PLSTSHL00012,rekreacja i wypoczynek - pozostałe,,,2943.0,3482.0
XTB,S1,,PLXTRDM00011,Giełdy i biura maklerskie,,,,7.9
XTB,S1+S2,,PLXTRDM00011,Giełdy i biura maklerskie,,,,568.8
XTB,S2,,PLXTRDM00011,Giełdy i biura maklerskie,,,,560.9
ZEPAK,S1,,PLZEPAK00012,Energetyka,,7166700.0,6051400.0,5430000.0
ZEPAK,S1+S2,,PLZEPAK00012,Energetyka,,9824100.0,7355400.0,6401100.0
ZEPAK,S2,,PLZEPAK00012,Energetyka,,2657400.0,1304000.0,971100.0
ZEPAK,S3,,PLZEPAK00012,Energetyka,,4200.0,3900.0,3800.0
